epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,11711.8,0.64951,0.55939,0.97232,1,0.9487,0.98028,0.84294,0.59853,0.46995,0.86742,0.0009506,0.0009506,0.0009506
55,11954.3,0.64028,0.54766,0.96289,0.99742,0.95161,0.98368,0.84512,0.64952,0.4889,0.87618,0.0009308,0.0009308,0.0009308
56,12168.6,0.63075,0.51481,0.95275,0.98332,0.95066,0.9893,0.8543,0.60963,0.43887,0.86866,0.000911,0.000911,0.000911
57,12383.3,0.66662,0.56579,0.98122,0.95019,0.96774,0.98848,0.86692,0.6022,0.43807,0.87909,0.0008912,0.0008912,0.0008912
58,12597.5,0.64664,0.56145,0.97457,0.97981,0.91935,0.97114,0.83842,0.59684,0.46033,0.87206,0.0008714,0.0008714,0.0008714
59,12811.4,0.6138,0.5381,0.95134,1,0.94762,0.99003,0.8497,0.6439,0.42712,0.87524,0.0008516,0.0008516,0.0008516
60,13029.8,0.64782,0.55108,0.98818,0.96768,0.96576,0.99169,0.87063,0.6288,0.43194,0.87847,0.0008318,0.0008318,0.0008318
61,13246.2,0.64789,0.53888,0.98075,0.95098,0.96774,0.97924,0.86286,0.6181,0.46339,0.88412,0.000812,0.000812,0.000812
62,13462.1,0.59525,0.52005,0.95304,0.96769,0.96602,0.97403,0.86432,0.59205,0.45037,0.85793,0.0007922,0.0007922,0.0007922
63,13677.4,0.60337,0.49096,0.94596,0.99979,0.98387,0.9873,0.87506,0.57779,0.41626,0.84798,0.0007724,0.0007724,0.0007724
64,13894.5,0.61609,0.52937,0.94908,0.99764,0.98387,0.98597,0.88665,0.53434,0.39402,0.83693,0.0007526,0.0007526,0.0007526
65,14110.3,0.58298,0.48073,0.93645,0.99944,0.96774,0.98579,0.87915,0.56545,0.40506,0.83877,0.0007328,0.0007328,0.0007328
66,14325.1,0.60306,0.51295,0.95743,0.98244,0.96774,0.99028,0.89583,0.53635,0.37727,0.82491,0.000713,0.000713,0.000713
67,14540,0.57634,0.49723,0.93379,0.99775,0.95161,0.98837,0.87169,0.57661,0.38947,0.84219,0.0006932,0.0006932,0.0006932
